component,incorrect,correct
initial_setup,"1. Make sure the GPS and location setting is off.
2. Then, start the Uber app.","1. Disable location services.
2. Open the Uber app."
initial_setup,1. The system font size is set to the maximum possible. Go to the texting app.,"1. Increase the font size to the largest.
2. Open the Messages app."
initial_setup,"Inside Google Photos, a new album called ""Test Album"" has been created and it contains three random pictures.","1. Launch the Google Photos app.
2. Select three photos from the camera roll.
3. Create a new album named ""Test Album""."
initial_setup,Make sure nothing is connected via Bluetooth.,1. Disconnect all paired Bluetooth devices.
initial_setup,"You need to clear out the temporary cache for Pinterest first.
Then, run the app.","1. Clear the cache for the ""Pinterest"" app.
2. Launch the Pinterest app."
initial_setup,"An email with the subject ""Automated Test Email"" was already sent to ""recipient@example.com"", and you are now looking at the Sent items folder in Outlook.","1. Send an email with the subject ""Automated Test Email"" to ""recipient@example.com"".
2. Navigate to the ""Sent"" folder in the Outlook app."
initial_setup,Take a picture of the screen and then tap on the notification to view it.,"1. Capture a screenshot of the home screen.
2. Open the screenshot from the notification tray."
initial_setup,An alarm is active and set to go off in 2 minutes. The user is looking at the Clock app.,"1. Set an alarm for two minutes from the current time.
2. Open the Clock app."
initial_setup,"1. The phone is currently being used under the ""Guest"" profile. Open settings.","1. Switch to the ""Guest"" user profile.
2. Launch the Settings app."
initial_setup,"1. The phone is in airplane mode, but Wi-Fi has been turned back on and is now connected to ""Public_Free_WiFi"".","1. Enable Airplane mode.
2. Enable Wi-Fi.
3. Connect to the ""Public_Free_WiFi"" network."
initial_setup,"1. The file named ""test_report.xlsx"" should already be uploaded to the user's Google Drive account.","1. Launch the Google Drive app.
2. Upload the file ""test_report.xlsx"" from local storage."
initial_setup,"A screen recording was just made of the user opening the calculator and doing ""125 * 8"".","1. Start a native screen recording.
2. Open the Calculator app.
3. Perform the calculation ""125 * 8"".
4. Stop the screen recording."
initial_setup,The background of the phone should be a live wallpaper.,1. Change the home screen wallpaper to a live wallpaper.
initial_setup,"The ""testuser@gmail.com"" Google account has been deleted from the phone's list of accounts.
Start YouTube.","1. Remove the Google account ""testuser@gmail.com"" from the device.
2. Launch the YouTube app."
initial_setup,1. The user is Browse privately in Chrome and is on the wikipedia.org website.,"1. Open an incognito tab in the Google Chrome app.
2. Navigate to the URL ""www.wikipedia.org""."
initial_setup,"1. The screen is split, with Google Docs on top and Slack on the bottom.","1. Activate split-screen mode.
2. Open the ""Google Docs"" app in the top window.
3. Open the ""Slack"" app in the bottom window."
initial_setup,1. There is a new note in Google Keep that has a 3-item checklist inside it.,"1. Create a new note in the Google Keep app.
2. Add a checklist with three items to the new note."
initial_setup,"Go to the phone's keypad and type in the code ""*#06#"".","1. Open the Phone app's dialer.
2. Enter the USSD code ""*#06#""."
initial_setup,"In Google Translate, the French language pack for offline use has been fully downloaded.","1. Launch the ""Google Translate"" app.
2. Download the ""French"" offline language pack."
initial_setup,"1. Make sure the main keyboard is Gboard and that in its settings, haptic feedback is turned on.","1. Set the default on-screen keyboard to ""Gboard"".
2. Open Gboard settings.
3. Enable ""Haptic feedback on keypress""."
initial_setup,"1. A ""Walking"" activity is currently being tracked in the Google Fit application.","1. Start a ""Walking"" workout session in the ""Google Fit"" app."
initial_setup,Shazam is open and it is listening for a song.,"1. Open the ""Shazam"" app.
2. Initiate music recognition."
initial_setup,"1. In the developer options menu, the animation scale for windows has been set to 2x.
2. Go to the settings app.","1. Enable ""Developer options"".
2. Change the ""Window animation scale"" to 2x.
3. Launch the Settings app."
initial_setup,"The phone is currently mirroring its screen to the ""Living Room TV (Chromecast)"", and a slideshow is playing from Google Photos.","1. Cast the device screen to ""Living Room TV (Chromecast)"".
2. Open the Google Photos app.
3. Start a slideshow."
initial_setup,"1. A working SIM is in the phone, but mobile data is off.
2. Open the main messaging app.","1. Insert an active SIM card.
2. Disable mobile data.
3. Launch the native Messages app."
